if_ncov,old_gis_id,new_id,station_full_name,station,station_train_name,province_city,lat,long,address,province,city,站名,lng火星,lat火星,type,WGS84_Lng,WGS84_Lat,if_in_gis
#N/A,56563300012,3963,桑园站,桑园,桑园火车站,,37.626085,116.379996,,,,,116.379996,37.626085,freight,116.37404,37.625155,1
#N/A,60563200037,3964,下庄站,下庄,下庄火车站,,40.284873,116.345969,,,,,116.345969,40.284873,freight,116.339747,40.283492,1
#N/A,55567200034,3965,李家桥站,李家桥,李家桥火车站,,37.304496,116.352359,,,,,116.352359,37.304496,freight,116.346483,37.30369,1
#N/A,59566200199,3966,广安门站,广安门,广安门火车站,,39.881797,116.336071,,,,,116.336071,39.881797,freight,116.329922,39.880471,1
#N/A,60560200237,3967,黄土店站,黄土店,黄土店火车站,,40.069921,116.343869,,,,,116.343869,40.069921,freight,116.337679,40.068572,1
#N/A,56560200028,3968,黄河涯站,黄河涯,黄河涯火车站,,37.347574,116.32956,,,,,116.32956,37.347574,freight,116.323728,37.34679,1
#N/A,56562200029,3969,许官屯站,许官屯,许官屯火车站,,37.534975,116.330565,,,,,116.330565,37.534975,freight,116.324709,37.534133,1
#N/A,56560200015,3970,于官屯站,于官屯,于官屯火车站,,37.394479,116.307032,,,,,116.307032,37.394479,freight,116.301242,37.393719,1
#N/A,50562200039,3971,龙山集站,龙山集,龙山集火车站,,33.576155,116.320653,,,,,116.320653,33.576155,freight,116.315233,33.577574,1
#N/A,59570700005,3972,田庄站,田庄,田庄火车站,,39.412812,117.928173,,,,,117.928173,39.412812,freight,117.922112,39.411825,1
#N/A,59576700053,3973,富庄子站,富庄子,富庄子火车站,,39.842182,117.930537,,,,,117.930537,39.842182,freight,117.92442,39.841098,1
#N/A,39575700034,3974,龙江车站,龙江车,龙江车火车站,,26.453785,117.924267,,,,,117.924267,26.453785,freight,117.919464,26.457309,1
#N/A,55571700072,3975,涯庄站,涯庄,涯庄火车站,,36.793432,117.924505,,,,,117.924505,36.793432,freight,117.918757,36.793242,1
#N/A,54575700017,3976,八陡站,八陡,八陡火车站,,36.458165,117.912361,,,,,117.912361,36.458165,freight,117.906655,36.458178,1
#N/A,37577700109,3977,剑斗站,剑斗,剑斗火车站,,25.323885,117.915887,,,,,117.915887,25.323885,freight,117.911171,25.32686,1
#N/A,54577700020,3978,大昆仑站,大昆仑,大昆仑火车站,,36.585746,117.907223,,,,,117.907223,36.585746,freight,117.901503,36.585698,1
#N/A,42575700117,3979,罗桥站,罗桥,罗桥火车站,,28.467508,117.911055,,,,,117.911055,28.467508,freight,117.906101,28.470947,1
#N/A,54575700018,3980,石炭坞站,石炭坞,石炭坞火车站,,36.457217,117.896196,,,,,117.896196,36.457217,freight,117.890485,36.457232,1
#N/A,52577700018,3981,员外庄站,员外庄,员外庄火车站,,35.296164,117.904334,,,,,117.904334,35.296164,freight,117.898752,35.296696,1
#N/A,49571700057,3982,石门山站,石门山,石门山火车站,,32.830138,117.880725,,,,,117.880725,32.830138,freight,117.875368,32.832248,1
#N/A,46573700145,3983,狮子山站,狮子山,狮子山火车站,,30.937152,117.882835,,,,,117.882835,30.937152,freight,117.877654,30.939563,1
#N/A,54575600066,3984,山头站,山头,山头火车站,,36.474887,117.867559,,,,,117.867559,36.474887,freight,117.861805,36.474872,1
#N/A,47573700250,3985,巢县站,巢县,巢县火车站,,31.596295,117.871605,,,,,117.871605,31.596295,freight,117.866348,31.598441,1
#N/A,74570600004,3986,湖北站,湖北,湖北火车站,,49.38372,117.864726,,,,,117.864726,49.38372,freight,117.857032,49.382002,1
#N/A,54575600027,3987,秋谷站,秋谷,秋谷火车站,,36.489108,117.86588,,,,,117.86588,36.489108,freight,117.860121,36.489084,1
#N/A,55571600033,3988,周村站,周村,周村火车站,,36.791007,117.855033,,,,,117.855033,36.791007,freight,117.849216,36.790789,1
#N/A,54576600046,3989,博山站,博山,博山火车站,,36.513933,117.859133,,,,,117.859133,36.513933,freight,117.853356,36.513888,1
#N/A,55570600034,3990,池头站,池头,池头火车站,,36.726755,117.848072,,,,,117.848072,36.726755,freight,117.842244,36.726569,1
#N/A,40571600031,3991,潘坊站,潘坊,潘坊火车站,,26.780388,117.850399,,,,,117.850399,26.780388,freight,117.845498,26.7839,1
#N/A,53570600070,3992,地方站,地方,地方火车站,,35.336997,117.847165,,,,,117.847165,35.336997,freight,117.841487,35.337436,1
#N/A,42575600091,3993,枫岭头站,枫岭头,枫岭头火车站,,28.462587,117.847906,,,,,117.847906,28.462587,freight,117.842867,28.465975,1
#N/A,58577600099,3994,白庄站,白庄,白庄火车站,,39.268577,117.838589,,,,,117.838589,39.268577,freight,117.832434,39.267605,1
#N/A,37577600044,3995,感德站,感德,感德火车站,,25.301311,117.845776,,,,,117.845776,25.301311,freight,117.840974,25.304231,1
#N/A,59576600056,3996,韩家林站,韩家林,韩家林火车站,,39.858318,117.830614,,,,,117.830614,39.858318,freight,117.824361,39.857168,1
#N/A,39574600046,3997,万能车站,万能车,万能车火车站,,26.401953,117.83378,,,,,117.83378,26.401953,freight,117.828868,26.405392,1
#N/A,53577600008,3998,北师店站,北师店,北师店火车站,,35.976501,117.812676,,,,,117.812676,35.976501,freight,117.806837,35.976537,1
#N/A,61570600062,3999,潘家店站,潘家店,潘家店火车站,,40.67418,117.817126,,,,,117.817126,40.67418,freight,117.810727,40.67279,1
#N/A,49572600044,4000,小溪河站,小溪河,小溪河火车站,,32.857556,117.809726,,,,,117.809726,32.857556,freight,117.804202,32.859534,1
#N/A,54573600032,4001,苗山站,苗山,苗山火车站,,36.282214,117.809905,,,,,117.809905,36.282214,freight,117.804025,36.282171,1
#N/A,55570600050,4002,彭家庄站,彭家庄,彭家庄火车站,,36.701654,117.803797,,,,,117.803797,36.701654,freight,117.797854,36.701404,1
#N/A,36576600054,4003,龙海站,龙海,龙海火车站,,24.524455,117.809255,,,,,117.809255,24.524455,freight,117.804421,24.527353,1
#N/A,54570600038,4004,徐家庄站,徐家庄,徐家庄火车站,,36.054678,117.79873,,,,,117.79873,36.054678,freight,117.792848,36.054673,1
#N/A,61573600023,4005,双塔山站,双塔山,双塔山火车站,,40.965838,117.79952,,,,,117.79952,40.965838,freight,117.793035,40.964188,1
#N/A,53570600028,4006,和气庄站,和气庄,和气庄火车站,,35.386632,117.787018,,,,,117.787018,35.386632,freight,117.781184,35.386924,1
#N/A,42575600079,4007,坑口站,坑口,坑口火车站,,28.45775,117.794837,,,,,117.794837,28.45775,freight,117.789672,28.461045,1
#N/A,40572600020,4008,吉舟站,吉舟,吉舟火车站,,26.87849,117.775179,,,,,117.775179,26.87849,freight,117.770107,26.881863,1
#N/A,60570600020,4009,平安城站,平安城,平安城火车站,,40.042944,117.777178,,,,,117.777178,40.042944,freight,117.77077,40.041701,1
#N/A,54571600014,4010,颜庄站,颜庄,颜庄火车站,,36.144003,117.764143,,,,,117.764143,36.144003,freight,117.758193,36.14394,1
#N/A,39574600037,4011,沙县站,沙县,沙县火车站,,26.393131,117.772264,,,,,117.772264,26.393131,freight,117.767226,26.396471,1
#N/A,47573600062,4012,中垾站,中垾,中垾火车站,,31.664733,117.753968,,,,,117.753968,31.664733,freight,117.748469,31.666716,1
#N/A,37577600019,4013,福德站,福德,福德火车站,,25.278287,117.763069,,,,,117.763069,25.278287,freight,117.758105,25.281083,1
#N/A,53576600100,4014,新泰站,新泰,新泰火车站,,35.907593,117.745265,,,,,117.745265,35.907593,freight,117.739331,35.907583,1
#N/A,42575600257,4015,宋村站,宋村,宋村火车站,,28.448184,117.74825,,,,,117.74825,28.448184,freight,117.743031,28.451447,1
#N/A,54573500036,4016,桃花峪站,桃花峪,桃花峪火车站,,36.303146,117.733948,,,,,117.733948,36.303146,freight,117.727972,36.303042,1
#N/A,54572600060,4017,大石家站,大石家,大石家火车站,,36.181704,117.745098,,,,,117.745098,36.181704,freight,117.739133,36.181629,1
#N/A,53571500012,4018,温水站,温水,温水火车站,,35.46126,117.719581,,,,,117.719581,35.46126,freight,117.713709,35.461485,1
#N/A,49572500047,4019,板桥站,板桥,板桥火车站,,32.877269,117.73214,,,,,117.73214,32.877269,freight,117.726525,32.879182,1
#N/A,62571500034,4020,汤头沟车站,汤头沟车,汤头沟车火车站,,41.443005,117.714986,,,,,117.714986,41.443005,freight,117.70838,41.44099,1
#N/A,54572500036,4021,孝义站,孝义,孝义火车站,,36.238264,117.717784,,,,,117.717784,36.238264,freight,117.711828,36.238194,1
#N/A,55570500092,4022,王村站,王村,王村火车站,,36.68482,117.711245,,,,,117.711245,36.68482,freight,117.705247,36.68456,1
#N/A,74571500004,4023,前哨站,前哨,前哨火车站,,49.463674,117.714439,,,,,117.714439,49.463674,freight,117.706462,49.461844,1
#N/A,42575500292,4024,司铺站,司铺,司铺火车站,,28.43009,117.709108,,,,,117.709108,28.43009,freight,117.703915,28.433389,1
#N/A,53576500004,4025,东都站,东都,东都火车站,,35.849191,117.711031,,,,,117.711031,35.849191,freight,117.705127,35.849226,1
#N/A,39573500080,4026,上游站,上游,上游火车站,,26.319047,117.696504,,,,,117.696504,26.319047,freight,117.691496,26.322396,1
#N/A,37577500028,4027,小舟站,小舟,小舟火车站,,25.29192,117.707248,,,,,117.707248,25.29192,freight,117.7023,25.294747,1
#N/A,59577500016,4028,玉田县北站,玉田县北,玉田县北火车站,,39.973943,117.680271,,,,,117.680271,39.973943,freight,117.673929,39.97277,1
#N/A,40574500027,4029,陈坊站,陈坊,陈坊火车站,,27.031752,117.694495,,,,,117.694495,27.031752,freight,117.689436,27.035129,1
#N/A,58574500112,4030,塘沽南站,塘沽南,塘沽南火车站,,39.00656,117.671585,,,,,117.671585,39.00656,freight,117.665386,39.005729,1
#N/A,40574500060,4031,卫闽站,卫闽,卫闽火车站,,27.074078,117.679687,,,,,117.679687,27.074078,freight,117.674651,27.07747,1
#N/A,53576500048,4032,新汶站,新汶,新汶火车站,,35.883827,117.6656,,,,,117.6656,35.883827,freight,117.659779,35.883931,1
#N/A,57573500026,4033,杨庄站,杨庄,杨庄火车站,,38.28777,117.667329,,,,,117.667329,38.28777,freight,117.661228,38.287181,1
#N/A,59576500080,4034,彩亭桥站,彩亭桥,彩亭桥火车站,,39.898607,117.651913,,,,,117.651913,39.898607,freight,117.645644,39.897491,1
#N/A,37577500018,4035,格口站,格口,格口火车站,,25.283255,117.655197,,,,,117.655197,25.283255,freight,117.650342,25.286175,1
#N/A,46584100092,4036,枫香墩站,枫香墩,枫香墩火车站,,31.058841,118.142798,,,,,118.142798,31.058841,freight,118.137353,31.060853,1
#N/A,40582100041,4037,高阳站,高阳,高阳火车站,,26.914128,118.143565,,,,,118.143565,26.914128,freight,118.138473,26.917332,1
#N/A,59585100039,4038,丰润南站,丰润南,丰润南火车站,,39.795349,118.140314,,,,,118.140314,39.795349,freight,118.133902,39.793947,1
#N/A,42587100061,4039,湖丰站,湖丰,湖丰火车站,,28.600011,118.142677,,,,,118.142677,28.600011,freight,118.137447,28.603063,1
#N/A,55584100051,4040,曹王站,曹王,曹王火车站,,37.018536,118.134905,,,,,118.134905,37.018536,freight,118.128824,37.01785,1
#N/A,40582100023,4041,振科站,振科,振科火车站,,26.89042,118.136458,,,,,118.136458,26.89042,freight,118.131352,26.893619,1
#N/A,47581100177,4042,铜城闸站,铜城闸,铜城闸火车站,,31.483339,118.127135,,,,,118.127135,31.483339,freight,118.121618,31.485159,1
#N/A,55581100050,4043,湖田站,湖田,湖田火车站,,36.780171,118.127581,,,,,118.127581,36.780171,freight,118.121513,36.779645,1
